Ranking_Difference,Attempts_on_Target,Corner_Kicks,Crosses,Ball_Possession_Percent,Completed_Passes,Completed_Line_Breaks,Defensive_Pressures,Forced_Turnovers,Second_Balls,Saves,Save_Percentage,Distance_Covered_km,Zone4_Low_Speed_Sprinting
51.0,2.0,11.0,27.0,54.9,444.0,92.0,198.0,41.0,78.0,2.0,50.0,112.8,6.7
-51.0,4.0,4.0,8.0,33.4,218.0,62.0,233.0,46.0,61.0,0.0,0.0,107.4,4.7
59.0,8.0,6.0,28.0,63.2,700.0,159.0,214.0,44.0,87.0,2.0,100.0,115.5,5.9
-59.0,2.0,1.0,4.0,30.0,344.0,77.0,413.0,42.0,54.0,4.0,50.0,115.0,6.7
11.0,7.0,4.0,35.0,59.2,562.0,120.0,121.0,45.0,90.0,3.0,100.0,111.7,5.2
-11.0,3.0,2.0,11.0,30.2,201.0,40.0,343.0,43.0,59.0,7.0,100.0,112.6,5.2
-56.0,5.0,4.0,13.0,39.4,355.0,85.0,289.0,39.0,76.0,4.0,57.14285714285714,118.5,6.8
56.0,7.0,3.0,20.0,50.3,486.0,110.0,249.0,51.0,72.0,4.0,80.0,118.3,7.1
-16.0,7.0,5.0,11.0,40.1,295.0,68.0,224.0,32.0,55.0,2.0,50.0,120.3,6.5
16.0,4.0,4.0,23.0,51.4,447.0,99.0,233.0,36.0,74.0,4.0,57.14285714285714,111.2,6.1
54.0,5.0,4.0,19.0,49.0,553.0,117.0,257.0,42.0,79.0,0.0,0.0,107.7,4.7
-54.0,0.0,2.0,10.0,44.3,431.0,89.0,304.0,37.0,55.0,2.0,40.0,112.1,4.5
23.0,5.0,1.0,6.0,48.2,570.0,87.0,229.0,41.0,53.0,1.0,100.0,104.4,4.5
-23.0,1.0,3.0,18.0,43.5,365.0,91.0,299.0,31.0,65.0,3.0,60.0,107.8,4.9
-35.0,4.0,1.0,7.0,27.7,201.0,71.0,355.0,47.0,67.0,6.0,75.0,117.5,5.9
35.0,8.0,10.0,20.0,62.2,590.0,99.0,199.0,55.0,85.0,3.0,75.0,116.3,6.6
69.0,3.0,9.0,32.0,72.4,635.0,106.0,105.0,25.0,65.0,0.0,0.0,108.3,5.1
-69.0,0.0,2.0,5.0,20.0,244.0,36.0,298.0,31.0,32.0,3.0,100.0,105.9,4.3
-23.0,1.0,7.0,27.0,37.2,282.0,80.0,269.0,44.0,81.0,1.0,50.0,108.2,5.8
23.0,2.0,2.0,18.0,52.5,445.0,75.0,236.0,47.0,65.0,1.0,100.0,110.0,6.9
45.0,9.0,3.0,24.0,56.1,577.0,135.0,197.0,37.0,67.0,2.0,100.0,110.2,6.0
-45.0,2.0,2.0,8.0,34.0,278.0,63.0,338.0,49.0,61.0,4.0,44.44444444444444,109.6,6.5
33.0,9.0,5.0,14.0,58.5,545.0,94.0,155.0,40.0,64.0,1.0,100.0,104.0,5.0
-33.0,1.0,4.0,13.0,32.9,404.0,51.0,300.0,40.0,59.0,8.0,88.88888888888889,106.0,5.1
-36.0,5.0,7.0,24.0,43.0,466.0,99.0,241.0,33.0,49.0,6.0,66.66666666666666,113.2,4.4
36.0,9.0,6.0,13.0,51.1,571.0,108.0,227.0,28.0,53.0,5.0,100.0,110.7,4.2
76.0,11.0,9.0,31.0,60.1,495.0,124.0,172.0,38.0,64.0,0.0,0.0,111.2,6.8
-76.0,2.0,1.0,3.0,31.5,212.0,49.0,331.0,50.0,59.0,7.0,63.63636363636363,107.5,5.9
11.0,4.0,2.0,8.0,48.8,389.0,95.0,216.0,49.0,53.0,6.0,85.71428571428571,109.9,5.2
